MoPHCode	GTIN
2250	NULL
2251	3400932731299
2263	NULL
2265	4048846000576
2266	NULL
2271	NULL
2272	NULL
2277	3400930200490
2279	NULL
2280	NULL
2282	NULL
2283	NULL
2285	NULL
2288	3400932717804
2289	3400932765768
2293	6285074002127
2295	6285074002141
2308	4048846000590
2322	6285074002158
2326	4048846000675
2332	5205411000501
2334	5205411000563
2349	5600360010197
2350	5600360011132
2361	3594456400837
2365	4048846000484
2366	4048846000583
2370	4048846000668
2417	50085412559297
2418	50085412559327
2419	50085412559303
2420	50085412559389
2421	50085412599965
2423	50085412559273
2426	50085412587788
2427	NULL
2429	5415062341285
2451	6297000720142
2465	890111703115
2473	NULL
2479	9003533000258
2480	9003533000234
2481	3400934312786
2491	NULL
2492	NULL
2497	NULL
2503	3400934549779
2504	NULL
2511	9003533000494
2512	NULL
2520	3400934739866
2521	3400930631072
2543	3400931605089
2548	3594455200513
2555	3582186007624
2557	3582186007631
2573	NULL
2576	6433042021344
2579	3582910078432
2581	3582910080213
2595	NULL
2596	NULL
2610	NULL
2626	NULL
2634	NULL
2638	4260161040192
2639	4260161040185
2640	NULL
2645	3664798001044
2650	5413868111156
2661	NULL
2662	NULL
2669	5413868111804
2688	6285074002592
2695	3582910062400
2708	6285074002769
2714	NULL
2731	8433042002770
2735	4251549400424
2736	NULL
2739	8023824000549
2747	6291107933085
2748	6291107933054
2753	6291107933108
2755	3592610000756
2767	3592610000817
2768	3592610000824
2771	NULL
2793	NULL
2803	3573994003212
2805	3573994003229
2806	3582186003213
2810	3582186002544
2811	3582186002582
2813	3573994003236
2815	3573994001898
2855	3760287080696
2869	366582507529
2871	NULL
2886	8433042002305
2904	366582506782
2905	366582508137
2909	3582910026204
2910	3582910026181
2924	6291107932927
2936	366582504917
2937	NULL
2938	366582507390
2941	NULL
2942	NULL
2974	NULL
2975	3664798006117
2976	3664798006261
2977	3664798019735
2979	3664798019742
2980	3664798019889
2985	3664798019650
2986	3582910076407
2987	3664798021899
3045	3582910083191
3047	366582506829
3054	NULL
3055	3582910083160
3058	3760001040432
3059	3582910081906
3074	5413895044151
3077	3582910080008
3086	3582910080237
3094	3582910083115
