code,public_price
10271,302365
10272,542912
10280,524099
9849,454537
8919,609206
6251,846621
8528,755239
4270,319963
8807,460938
2198,1087169
2199,1521230
5222,9052935
5980,722987
11160,722987
5554,24533456
5555,75875312
6109,24533456
6110,75875312
5673,1531980
10711,32224230
10712,31285380
11941,913813
11942,651764
10550,2777275
10551,2777275
7742,620855
7806,419279
10181,2454186
11543,70488764
11861,916501
11611,440780
9632,1193332
9633,2273782
4272,373358
755,4053029
9696,438093
9697,393746
11875,10967854
11177,10967854
10154,9401575
11270,10706993
7358,423630
7359,573373
9513,423630
9514,573373
9593,448843
1362,365525
1363,361494
5590,693423
1720,385683
1721,237860
759,225766
9661,804962
1835,346711
11533,412560
10080,928595
10081,589947
6307,292958
11509,344024
2747,173356
8907,4114846
10358,94771465
11118,93777847
11119,78349010
11081,188138
11755,295645
11756,282207
7276,13873850
5041,595322
5957,149167
5039,296989
6869,287582
5211,38029953
1369,290270
8099,662514
1651,247267
1652,247267
11062,3584028
8942,19610153
8943,78439178
11631,78439178
9103,16999467
9104,25099310
9333,26072618
10307,27390281
7309,895895
3694,388370
3695,416591
4376,533697
10436,68669378
3992,319835
8986,13270499
8987,25895605
8988,44948602
9688,921176511
7532,210983
11124,362837
11937,749864
6516,491846
7573,219046
5504,415951
10860,592635
10531,1478552
4684,120306
4688,398033
1726,700142
5245,326554
1727,1026696
7733,3758727
508,235172
611,279519
612,279519
11596,49744595
11597,14719570
1862,532162
10089,638325
259,524099
8881,1382814
11016,4315078
11630,1306215
5889,1451753
9066,2623181
9900,69724037
6368,17590239
6370,5582795
6791,11726826
6372,6195623
10079,1709368
10512,1361312
9522,1130108
9760,2147588
8712,1110014
8620,452007
8621,993870
7069,2328879
7319,1804780
11501,181419
4378,363477
5615,452875
6262,765990
6248,392402
5506,406992
5507,789667
6715,723115
5181,460746
11445,207336
5192,345560
11444,345560
5397,678321
4078,321178
4079,372244
7838,235172
11946,167980
11251,292958
11252,544256
11253,544256
11383,272800
11384,272800
11385,544256
11666,18490076
10795,47495416
10794,142487946
11667,77844379
10867,55847685
10868,40725735
7551,3054554
8498,239484334
481,377620
480,186794
1381,847965
1382,1131515
6018,1257837
6017,1060292
11030,511940
8341,749992
10157,383955
9972,24963868
9970,1265900
9971,3144591
6451,1394909
9386,11020381
10687,11020381
9477,13007658
11619,13007658
10598,14169600
11269,15743401
9468,46880685
9469,46880685
9910,35663747
9911,123564667
9912,154453246
363,18625995
11440,18625995
11714,1237679
11715,1237679
1177,971598
11554,6705774
8155,65228611
6517,5544694
7153,658483
8750,483783
11073,412560
10826,41821582
7996,6927508
7997,4345987
7998,2592272
9846,9627931
9847,9627931
9848,10314804
10947,180075
10138,250851
4380,176619
1655,115570
6467,2746814
6466,1988887
5948,327898
7328,364181
5734,311776
5735,385295
5135,795555
6674,940690
8726,530818
6217,1226928
6158,808993
10162,823775
7160,8554692
8782,1342499
8800,1342499
9238,1342499
9239,1342499
11184,2365163
11185,1182581
11186,2365163
11406,1259180
4021,2736063
4022,3078743
10755,1554826
11120,2586897
5688,1671740
5689,563070
10186,201576
10204,1054916
9501,692079
9502,291614
1383,122290
1384,145135
9019,237860
6474,548288
10716,8524771
10717,8524771
10718,8524771
10719,8524771
10720,34835645
10721,34835645
10722,34835645
11899,128599140
11900,88249366
10672,51622917
9629,422609112
9630,422609112
9631,422609112
11020,31708528
4481,177899
4103,5436771
4104,763056
7735,389714
1161,2053391
8503,1289872
1385,494534
7221,1158264
7222,447948
2248,630262
2249,667890
10895,618168
4576,163821
4577,142063
11329,4025128
4351,326362
11357,490183
4350,284127
11359,426190
7235,229797
10852,302365
6965,31611335
6966,25799521
10245,1376095
10246,1376095
10247,1376095
10112,327898
10113,327898
10109,434061
10110,434061
10111,434061
11313,22127179
11314,22127179
8613,385235
7729,368213
7869,344024
8098,408528
5187,677616
5186,573603
5189,677616
5188,700560
5190,669968
5191,700560
8479,10908012
9326,12123049
11620,8869508
11152,11222829
11266,12665771
11267,4094240
5766,4927423
4275,486343
4276,652724
4278,1028487
10294,383955
10295,335321
11450,508740
