ATC	Code
J01DC02	1842
A02BC01	1846
A03FA03	1847
A03FA03	1848
A03AX	1849
J01DD01	1850
R06AE07	1852
J01CR02	1853
J01CR02	1854
J01CR02	1855
N06AB03	1857
C08CA01	1858
A02BC02	1859
J01FA09	1860
J01FA09	1861
A03AA04	1862
B03BA01	1864
J02AC01	1865
A02BC04	1867
A02BC04	1869
B03AD03	1870
M05BX	1872
A11AA	1877
R03BB01	1878
R03BB01	1879
A10BX02	2010
G03FA01	2012
H01AC01	2014
H01AC01	2015
A10AD05	2016
A10AB05	2017
A10AB01	2018
A10AC01	2019
A10AB01	2023
A10AE01	2025
H04AA01	2028
A10AD01	2029
A10BX02	2036
A10BX02	2038
G03FB05	2041
G03CA03	2043
G03FA01	2045
N02BA01	2085
C01CA24	2096
C01CA24	2097
A10AE04	2124
R03DA05	2127
J01CA04	2137
J01CA01	2139
J01CA01	2140
L04AA13	2156
L04AA13	2157
A03BA01	2177
A03BA01	2179
J01MA14	2198
J01MA14	2199
B01AD11	2217
B05XA02	2219
B05XA02	2220
C01BC04	2222
B01AD02	2224
R03BB01	2226
R03AL01	2227
V03AF03	2241
A12AA04	2248
A12AX	2249
L01XA02	2250
A07BA51	2251
J01DB04	2263
C09CA07	2265
J01DD01	2266
J01DC01	2267
J01DC01	2268
J01DD04	2271
J01DC02	2272
J01DC02	2273
S02D	2277
C01CA26	2279
N02AA01	2280
N05AA01	2281
B05XA01	2282
B05XA01	2283
B05XA01	2284
B05XA03	2285
B05XA03	2287
R05CB01	2288
R05FA01	2289
J01MA02	2293
J01MA02	2295
C09CA07	2308
J01MA02	2322
C09DA07	2326
J01DD04	2332
J01DC02	2334
M01AC06	2344
M01AC06	2345
N07CA03	2349
N05BA12	2350
C05CA53	2361
N04BC05	2365
N04BC05	2366
R03BB04	2370
A07AX03	2381
S02CA06	2382
B05DB	2417
B05DB	2418
B05DB	2419
B05DB	2420
B05DB	2421
B05DB	2423
B05DB	2426
N05BA01	2427
M01AC01	2429
S01BC01	2451
L01DC01	2462
L01XX05	2465
L01AA01	2469
B05BA01	2473
N07CA02	2476
L01DB01	2479
L01DB01	2480
A03E	2481
V07AB01	2491
V07AB01	2492
L01DB03	2497
L01DB03	2498
J01AA02	2503
A02BC01	2504
L01CB01	2511
A07BA51	2512
S01GX02	2520
R06AD52	2521
R05X	2543
C03BA11	2548
A06AD15	2555
A06AD65	2557
N05AD01	2566
N05AD01	2570
C03CA01	2573
R02A	2576
G01AF01	2579
M01AE03	2581
A10BF01	2593
B05CX01	2595
B05CX01	2596
B05BA	2610
N01AX10	2611
D01AC08	2612
B01AB01	2626
R02AA20	2630
R02AA20	2634
C05BA01	2638
C05BA01	2639
C01CA04	2640
H02AB09	2645
H02AB09	2647
N05AX08	2650
R05CA10	2652
P01AB01	2661
B05AA07	2662
N05AX08	2669
C08CA06	2688
A05BA	2695
M09AX	2700
D01AE14	2705
G04BE09	2708
A07FA01	2714
A02BC03	2719
M09AX	2731
N01BB02	2735
N01BB02	2736
J01GB06	2739
D06AX	2747
D01AE22	2748
D06AX	2753
D11AX01	2755
D10AF02	2767
J01AA02	2768
B05XA05	2771
A03FA01	2793
D07AB08	2800
D01AE14	2801
D01AE14	2802
L01CA04	2803
L01CA04	2805
L02AE04	2806
L02AE04	2810
