MoPHCode,rep,2019,2021,2022,2023,2024,2025,2026,2027,2028,registrationDate,registrationMonth,registrationYear
3749,,,,,,,,,2027,,18,9,2003
7930,,,,,,2024,,,,,12,1,2015
9086,,,,,,,,,,2028,10,5,2017
3119,,,,,,2024,,,,,21,8,2002
1579,,,,2022,,,,,,,17,9,2003
4415,,,,,2023,,,,,,,,
8410,,,,,2023,,,,,,7,8,2013
4378,,,,,2023,,,,,,,,
9478,,,,2022,,,,,,,24,1,2018
4640,,,,,2023,,,,,,,,
4336,,,,,2023,,,,,,,,
7552,,,,,,,,,2027,,7,3,2014
2481,,,,2022,,,,,,,18,2,1998
4525,,,,,2023,,,,,,,,
8547,,,,,,2024,,,,,22,3,2016
8548,,,,,,2024,,,,,22,3,2016
2793,,,,,,2024,,,,,11,11,1991
8871,,,,,,,,2026,,,13,10,2016
9605,,,,,,,,,,2028,30,1,2019
7713,,,,,,,,,,2028,23,7,2014
9087,,,,,,,,,,2028,10,5,2017
9733,,,,,,,,,,2028,7,5,2019
11798,,,,,,,,,2027,,20,9,2023
11096,,,,,,,,2026,,,15,9,2022
1847,,,,,,,,2026,,,7,11,2003
5056,,,,,,,,,,2028,11,10,2007
1689,REP,,2021,,,,,,,,8,1,2002
4447,,,,,2023,,,,,,,,
7455,,,,2022,,,,,,,25,7,2013
6204,,,,,,,,,,2028,23,2,2011
9875,,,,,,,,,2027,,24,4,2019
5999,,,,,2023,,,,,,21,7,2010
1848,,,,,,,,2026,,,17,3,2004
9149,,,,,,,,2026,,,21,3,2017
3969,,,,,,2024,,,,,6,12,2005
8918,,,,,,,,,,2028,5,1,2017
9591,,,,2022,,,,,,,3,7,2018
4446,,,,,2023,,,,,,,,
10435,,,,,,,2025,,,,2,12,2020
10827,,,,,,,,,2027,,13,10,2021
9090,,,,,,,,2026,,,13,4,2017
9116,,,,,,,,,,2028,10,5,2017
9988,,,,,2023,,,,,,16,11,2018
8959,,,,,,,,,,2028,7,6,2016
8962,,,,,,2024,,,,,29,11,2016
5644,,,,,2023,,,,,,25,9,2009
7850,,,,,2023,,,,,,5,11,2014
9117,,,,,,,,,,2028,10,5,2017
9987,,,,,2023,,,,,,16,11,2018
8958,,,,,,,,,,2028,7,6,2016
8100,,,,,,2024,,,,,5,11,2014
5312,,,,,2023,,,,,,23,12,2008
7851,,,,,2023,,,,,,5,11,2014
7678,,,,,2023,,,,,,11,2,2014
10337,,,,,,2024,,,,,10,9,2020
9013,,,,,,,,2026,,,22,3,2017
11300,,,,,,,,,2027,,3,5,2023
11680,,,,,,,,,,2028,5,6,2023
9491,,,,2022,,,,,,,30,5,2018
9928,,,,,2023,,,,,,29,5,2019
11783,,,,,,,,,,2028,27,2,2024
10902,,,,,,,,2026,,,16,2,2022
11082,,,,,,,,2026,,,16,2,2022
10336,,,,,,2024,,,,,10,9,2020
10984,,,,,,,,2026,,,12,5,2022
11154,,,,,,,,,2027,,13,10,2022
9546,,,,2022,,,,,,,6,6,2018
8436,,,,,,2024,,,,,18,11,2015
9852,,,,,2023,,,,,,27,3,2019
8437,,,,,,2024,,,,,18,11,2015
11008,,,,,,,,2026,,,24,8,2022
8286,,,,,,,,,,2028,24,6,2015
11574,,,,,,,,,2027,,10,10,2023
8551,,,,,,,,,,2028,21,4,2016
1453,,,,,,,,2026,,,,,
1454,,,,,,,,2026,,,10,4,2000
1455,,,,,,,,2026,,,17,2,1966
10342,,,,,,2024,,,,,27,8,2020
10343,,,,,,2024,,,,,27,8,2020
92,,,,,,,,2026,,,19,,1994
9890,,,,,2023,,,,,,11,6,2019
9891,,,,,2023,,,,,,11,6,2019
4502,,,,,2023,,,,,,,,
9735,,,,,2023,,,,,,19,12,2018
9738,,,,,,,,,2027,,19,12,2018
10851,,,,,,,,2026,,,5,1,2022
4503,,,,,2023,,,,,,,,
4504,,,,,2023,,,,,,,,
8603,,,,,,2024,,,,,11,11,2015
6459,,,,,,,,,,2028,16,11,2011
7973,,,,,2023,,,,,,23,4,2014
10320,,,,,,2024,,,,,24,3,2020
4495,,,,,2023,,,,,,,,
3168,,,,2022,,,,,,,,,
2555,,,,2022,,,,,,,3,5,1997
1589,,,,2022,,,,,,,4,9,2003
2557,,,,2022,,,,,,,14,5,1997
9645,,,,,2023,,,,,,20,6,2018
9646,,,,,,,,2026,,,11,7,2018
6712,,,,,,,2025,,,,12,3,2011
4548,,,,,2023,,,,,,,,
4549,,,,,2023,,,,,,,,
4551,,,,,2023,,,,,,,,
11541,,,,,,,,,2027,,14,10,2020
11892,,,,,,,,,,2028,13,8,2024
11540,,,,,,,,,2027,,28,8,2023
11891,,,,,,,,,,2028,13,8,2024
8844,,,,,2023,,,,,,5,10,2016
4442,,,,,2023,,,,,,,,
9495,,,,2022,,,,,,,30,5,2018
3754,,,,,,,,2026,,,11,4,2001
3755,,,,,,,,2026,,,11,4,2001
11703,,,,,,,,,,2028,19,12,2023
4421,,,,,2023,,,,,,,,
10512,,,,,,,2025,,,,23,2,2018
2251,,,,2022,,,,,,,11,11,1998
2512,,,,2022,,,,,,,27,6,1972
6943,,,,,,2024,,,,,20,7,2012
9350,,,,,,2024,,,,,20,12,2017
10094,,,,,,,,,,2028,6,8,2019
11518,,,,,,,,,2027,,6,7,2023
7651,,,,2022,,,,,,,12,12,2012
11470,,,,,,,,,2027,,13,4,2023
7160,,,,2022,,,,,,,12,12,2012
10833,,,,,,,,2026,,,10,11,2021
10834,,,,,,,,2026,,,10,11,2021
8965,,,,,,,,2026,,,16,1,2017
1008,,,,2022,,,,,,,23,6,1994
3115,,,,2022,,,,,,,23,12,1993
8775,,,,,,2024,,,,,17,3,2016
5478,,,,2022,,,,,,,20,5,2009
6890,,,,,,,,2026,,,2,8,2012
10339,,,,,,2024,,,,,17,9,2020
8321,,,,,,,,,,2028,23,4,2015
9191,,,,,,,,,,2028,5,7,2017
1009,,,,2022,,,,,,,19,5,1999
3116,,,,,,,,2026,,,2,12,1997
10682,,,,,,,2025,,,,17,3,2021
11799,,,,,,,,,,2028,6,3,2024
1260,,,,,,,,,,2028,3,12,1997
7846,,,,,,,,2026,,,23,6,2014
96,,,,,,,,2026,,,23,12,1994
10543,,,,,,,2025,,,,31,12,2020
6253,,,,,,,,,,2028,18,3,2011
8319,,,,,,,,,,2028,23,4,2015
8320,,,,,,,,,,2028,23,4,2015
10806,,,,,,,,2026,,,28,9,2021
10807,,,,,,,,2026,,,28,9,2021
10808,,,,,,,,,,2028,30,1,2019
169,,,,,,,,,2027,,27,12,1967
3915,,,,,,,,,2027,,10,1,2003
8477,,,,,,,,,,2028,26,11,2015
3938,,,,,,,,,,2028,21,6,2005
8287,,,,,,,,,,2028,29,12,2014
8288,,,,,,,,,,2028,2,6,2015
11685,,,,,,,,,,2028,20,2,2024
8760,,,,,,2024,,,,,3,8,2016
8759,,,,,,2024,,,,,3,8,2016
9939,,,,,2023,,,,,,17,4,2019
10095,,,,,,2024,,,,,28,11,2019
9449,,,,,,,,,2027,,21,3,2018
6255,,,,,2023,,,,,,7,4,2011
6285,,,,,2023,,,,,,2,3,2011
6883,,,,,,,,2026,,,13,9,2012
7113,,,,,,,,,,2028,1,2,2013
9241,,,,,,,,2026,,,24,8,2017
6575,,,,,,,,2026,,,4,1,2012
6286,,,,,2023,,,,,,2,3,2011
3206,,,,,,,,2026,,,10,2,2002
5258,,,,,,,,2026,,,7,10,2008
2023,,,,,,,,,2027,,6,8,1988
8497,,,,,,,,,2027,,7,1,2015
1038,,,,,,2024,,,,,22,2,1989
5060,,,,2022,,,,,,,11,10,2007
