code,reg_number
7027,97246/12
2504,208991/03
4497,24273
7304,187344/13
2869,261402
11238,76621/1
8553,165615/1
7571,96416/11
11953,124124/1
11952,124024/1
7774,187160/13
7773,187159/13
7836,23614/1
10908,13421/1
10909,13521/1
11659,98723/1
7898,127414/1
7952,51414/1
2043,27888
11598,106723/1
11599,106623/1
2511,135396
6779,97378/12
9281,28317/1
10117,17820/1
9282,28217/1
10118,18720/1
9283,28117/1
10025,34819/1
10070,34919/1
10024,35019/1
2512,
5764,219286/09
7492,186791/14
5113,24311
11880,94224/01
11320,111822/1
3495,
1309,973424/01
1310,973425/01
1311,973427/01
1312,973426/01
4596,195091
6917,166518/11
10622,141820/1
10482,2320/1
10483,2420/1
10481,2220/1
11381,113121/1
11382,113221/1
11380,113021/1
7266,97675/11
11939,64522/1
11046,78421/1
10643,53221/1
5711,221415/08
8491,112415/1
5710,221416/08
8979,132816/1
7440,186512/13
10599,19020/1
7688,187093/13
11629,110222/1
7121,096579/12
11028,141420/1
11029,141320/1
11777,137823/1
11778,137923/1
11779,138123/1
11782,138223/1
11780,138323/1
11781,138023/1
2748,26117
11088,105720/1
7255,218721/10
7256,218722/10
2288,27737
6265,167549/10
6264,167548/10
11072,163520/1
3600,195044/04
3599,195043/04
7420,185991/13
10814,62020/1
5278,222422/08
9063,163316/1
10155,118319/1
1808,767292/00
1809,767293/00
11827,27024/1
11828,27124/1
7078,186299/13
11544,176520/1
1847,208341/02
1848,208013/03
9938,21219/1
10762,128820/1
6863,97210/12
3683,261367
11553,121023/1
3180,27656
10669,70821/1
11816,41023/1
4597,22323
10691,58320/1
10690,58220/1
10098,161519/1
10099,161419/1
10367,83820/1
10368,83920/1
6236,167184/10
890,236201/98
7306,218694/10
5292,194488/05
5988,222387/08
10120,117219/1
7727,186994/14
3367,974210/01
5856,218806/09
8865,31516/1
8922,141714/1
8857,155816/1
8856,155916/1
9481,22115/1
11111,121122/1
8728,71316/1
8729,66216/1
6239,167494/10
7023,97534/11
5046,208352/02
7974,141614/1
5342,222404/08
9992,60919/1
9991,61119/1
9990,61219/1
9989,61019/1
10489,187419/1
7184,186478/12
3853,973448/01
3854,208362/02
8070,93514/1
9081,175416/1
9317,116317/1
8588,2216/1
11593,126623/1
11928,121524/1
7601,222913/10
6231,219265/09
6232,219266/09
7837,59414/1
5763,219494/10
2579,20528
1747,405525/00
1746,1809/72
2222,208346/97
9472,11518/1
10815,182120/1
10816,182020/1
767,208383/97
765,236711/99
10772,20822/1
7738,185957/13
10180,106019/1
10179,106119/1
10107,63819/1
10746,170220/1
10747,170320/1
10745,170120/1
5146,194475/05
7697,187449/13
11923,18123/1
11922,18223/1
7932,185926/13
9918,152018/1
9666,185935/13
8739,187348/13
10670,42020/1
5309,221197/08
9246,78717/1
9247,78617/1
9248,78517/1
5679,218031/09
11012,55021/1
2548,78829/98
4415,25656
1239,26887
5912,221710/08
5913,221700/08
2521,78772
11664,86423/1
5449,222473/08
7345,167086/10
9442,8718/1
1671,405516/00
4737,195342/04
4735,236407/98
4736,236406/98
4417,2375/94
6182,218338/09
7214,167091/10
5199,194467/05
11982,83724/1
11060,16822/1
4418,2437/94
8749,61114/1
1672,405517/00
6030,222478/08
10561,11521/1
6658,218349/09
6657,218348/09
6352,166650/11
4419,236680/99
4420,974247/01
11127,99722/1
11128,120722/1
2555,208318
9129,187456/13
5742,218334/09
2557,261065
11418,61518/1
8253,78315/1
5462,219525/09
5776,219264/09
7310,97228/12
8183,51215/1
11940,112123/1
11164,153421/1
10979,123219/1
10980,185119/1
3905,974014/02
3904,974015/02
9345,152417/1
5647,219539/09
5648,219538/09
8224,126114/1
1087,25834
8193,46815/1
1089,25292
1088,25254
5500,218022/09
8192,46715/1
5499,218023/09
8191,46915/1
11180,117022/1
8323,111915/1
10988,79521/1
5196,194490/05
1865,208343/02
5987,219509/09
10791,89221/1
8249,121014/1
2573,C0744/92
5313,23601/06
9552,34018/1
8145,42915/1
4738,27515/93
4421,27715
1440,973977/02
10449,56020/1
8347,186607/13
8348,186608/13
8349,186609/13
8350,186610/13
8351,186611/13
9799,122718/1
9798,122818/1
6311,24970/07
6312,24971/07
8704,85216/1
11974,102823/1
8705,85316/1
11973,102923/1
6622,24989/07
6621,24990/07
6620,219514/09
11644,158018/1
5387,222458/08
5364,222449/08
7346,97671/11
8738,56516/1
5365,222448/08
9297,128415/1
11327,144721/1
10740,61620/1
10741,133220/1
4598,2724/94
4599,2765
10056,51019/1
6299,96355/11
8547,16916/1
8548,16816/1
5103,24980
11423,138122/1
8737,65816/1
10046,121419/1
6212,218836/09
11468,108422/1
11469,108522/1
11698,101422/1
11699,101722/1
6233,167721/10
5910,24519/07
5911,24520/07
5998,168132/10
3512,208746/03
9974,15119/1
11299,69121/1
10637,82120/1
10854,156920/1
8893,115716/1
8201,55715/1
10728,152119/1
10135,161719/1
9780,166718/1
7444,185971/13
11524,20220/1
11523,20320/1
11010,142120/1
11011,142020/1
5798,218888/09
5779,218889/09
7050,166919/11
7051,166920/11
5092,24968/07
5091,24969/07
9686,172016/1
9395,154016/1
9837,164518/1
7687,187340/13
2941,974124/01
11614,135023/01
11613,134923/1
7611,185929/13
9931,28419/1
7253,96357/11
6306,166601/11
10968,94221/1
10969,94321/1
8886,115216/1
7675,30614/1
7603,185812/13
7674,30514/1
7676,30714/1
7604,185813/13
10292,77720/1
4422,2235/94
5172,23613/06
7290,185907/13
6837,168001/10
6838,168002/10
6839,168003/10
6840,168004/10
7491,185822/13
7308,185821/13
8210,185820/13
9272,8315/1
4041,24542/07
2028,208483
4699,194787/05
4700,194788/05
5115,24930
5693,218873/09
6219,167510/10
2596,F1876/94
2595,C1876/94
4701,148171/03
4702,148172/03
5847,218874/09
8579,20116/1
8582,20316/1
8580,20016/1
8581,20216/1
11040,167724/2010
11041,167725/2010
11449,35323/1
11042,167726/2010
11684,84920/1
11682,90919/1
11683,90819/1
4499,82/95
8608,17816/1
897,208628
6705,219306/09
6704,219307/09
6702,219308/09
4301,195082/04
4302,195144/04
4303,195143/04
9826,178718/1
11433,139722/1
9827,178818/1
11434,142722/1
3919,973314/01
7744,187092/13
4025,24101/06
5334,24478/06
5595,221166/08
5610,221996/09
5611,221997/09
8436,120115/1
8437,120215/1
2768,236399
11987,128223/1
1453,22141/73
1454,405409/00
1455,15317
8992,120316/1
4423,2439/94
8068,127314/1
10838,121520/1
10839,121620/1
1007,973943/02
1459,236236/98
1460,236235/98
1870,261032
8983,15417/1
8984,15217/1
8985,15317/1
10415,10520/1
11335,10320/1
10090,2814/1
6144,167088/10
9331,109717/1
9871,8219/1
9913,19119/1
4425,2248/94
4424,2247/94
4427,2249/94
4428,2250/94
28,135293
33,973725/02
10974,23022/1
10955,137021/1
7220,96690/12
11056,61722/1
11167,61622/1
8424,60315/1
11862,147320/1
1095,236426/98
6211,167619/10
1096,236428/98
10934,75717/1
10935,75717/1
9902,101918/1
9903,101818/1
9904,102118/1
9905,102018/1
10425,76220/1
11470,108922/1
4501,21358
9929,27714/1
2626,B0342/91
8453,167618/10
10735,186419/1
10352,38614/1
10353,38714/1
7087,186473/12
7088,186474/12
8053,11015/1
9458,53618/1
11888,70323/1
11889,70423/1
11887,70223/1
10653,177019/1
10652,176919/1
2634,236878/99
8675,59416/1
10863,29618/1
11927,106724/1
9802,125616/1
9800,133416/1
6624,096354/11
6625,218322/09
6860,97208/12
6861,97209/12
8288,45815/1
8287,121714/1
9382,126117/1
6283,166816/11
6995,97492/12
4165,261321/97
4773,38948/96
4772,38949/96
11502,54721/1
5241,24893/07
8748,20715/1
4429,25660
9927,64619/1
9907,30619/1
9716,172518/1
9717,172618/1
9718,172818/1
516,27263
4502,81/95
4504,80/95
10869,73018/01
1028,405474/00
5844,219257/09
5843,219263/09
5842,219262/09
3267,405966
9604,136918/1
8989,20117/1
5879,23739/06
6113,167511/10
11409,56418/1
9597,135418/1
1037,26862
1039,26578
1038,26579
554,148175/03
11376,45420/1
8862,129916/1
11520,4923/1
11051,81817/1
4431,2707/94
9729,56318/1
2645,947/72
4505,21365
4508,24962
3950,148393/04
3593,405471/00
11610,2023/1
9893,34319/1
9894,34419/1
9748,41219/1
9749,41119/1
6847,97888/12
6848,97889/12
771,236879/00
772,236880/00
7333,97360/12
7338,97361/12
8512,185801/13
8513,185802/13
8514,185803/13
8520,1716/1
10663,98721/1/1
8521,1816/1
10664,108521/1
8522,1916/1
10665,108421/1
7417,97970/12
11487,124722/1
11486,124622/1
11488,124722/1
11697,142422/1
11419,98520/1
4600,2889
8081,120114/1
11586,8422/1
11587,8322/1
3268,974211/01
10063,92017/1
10064,92117/1
10062,92217/1
10065,91917/1
9764,124018/1
10952,136921/1
10951,23222/1
10956,90922/1
10957,90722/1
10958,90822/1
11264,6521/1
11265,6621/1
10596,180920/1
10597,180820/1
10033,74419/1
11729,74419/1
10034,74319/1
11728,124/1
9704,127418/1
9703,127318/1
9886,13319/1
6254,167824/11
6776,97203/12
6958,97879/11
9031,90316/1
9032,90416/1
6723,166602/11
11547,146421/1
11549,146721/1
10094,192318/1
7651,96736/12
11920,78120/1
8018,69914/1
3348,195076/04
5090,24729/07
7506,186167/13
10767,58020/1
10766,58120/1
10585,30420/1
11526,16922/1
10758,9720/1
4306,25489
2451,78986/98
4602,20040
4603,22583
5416,222406/08
5417,222407/08
9065,163116/1
9064,163216/1
5394,23864/07
34,973379/01
8456,135514/1
8457,135414/1
11206,47819/1
3938,195330/04
3188,405530/00
10277,121320/1
10317,149519/1
10318,1494/19
2025,26464
8496,145014/1
6073,167170/10
10115,109019/1
8181,61115/1
9164,84517/1
9162,84317/1
9163,84417/1
6797,97855/11
6798,97854/11
6799,97852/11
6800,97856/11
8587,103714/1
6939,097201/12
11751,819/01
8374,95315/1
6120,24986/07
10586,17921/1
10587,17821/1
10588,17721/1
10589,17621/1
10590,17521/1
9070,23717/1
9071,23817/1
6238,218930/10
11713,145823/1
5193,24323/06
10654,13121/1
1732,148394/04
6906,97467/12
6464,218947/10
6463,218948/10
10216,56317/1
10217,56217/1
11503,53823/1
4605,20377
5671,221979/09
5285,221420/08
5286,221419/08
4075,23632/06
9189,51117/1
9190,51017/1
9892,158118/1
9895,193218/1
9896,158218/1
4607,2848/94
7204,167520/10
7205,167519/10
10693,24020/1
10694,24120/1
11768,11421/1
10514,13221/1
10515,13321/1
10447,11321/1
5210,222236/07
9505,102016/1
10266,48720/1
11705,75622/1
11704,75722/1
11837,34623/1
11838,34423/1
11839,34523/1
11680,6123/1
11679,151222/1
5770,219590/09
11237,54522/1
5771,219591/09
11236,54622/1
7991,126314/1
7992,126414/1
7993,126514/1
7871,44014/1
8203,55515/1
8204,55415/1
10624,100020/1
11881,57923/1
11048,136121/1
11047,136021/1
11865,14724/1
8701,66016/1
5180,222369/08
9860,131116/1
9649,68316/1
9650,68416/1
9651,68516/1
9648,68216/1
7525,186173/13
7177,166831/11
7526,186174/13
7195,96695/12
7196,96694/12
10480,13017/1
8034,186111/13
8035,186110/13
7246,97801/11
8463,113715/1
7176,97681/11
8464,113615/1
5927,222483/08
5929,221855/08
5930,221854/08
6437,167498/10
6669,219726/09
6668,219725/09
8644,140815/1
8384,104914/1
8385,105014/1
8382,104314/1
8383,104414/1
8386,105314/1
8387,105414/1
5094,23715/06
5093,23714/06
7025,96599/12
1478,974455/00
5061,24121/06
5057,24122/06
5060,24123/06
7753,62914/1
7754,63014/1
8067,186254/13
10044,140319/1
7670,187070/13
6602,166824/11
6603,166825/11
9634,179316/1
8561,26616/1
8562,26716/1
10535,9320/1
10536,9420/1
10537,9520/1
11045,78521/1
10677,153320/1
8641,47116/1
8508,2716/1
6768,97031/12
11354,63022/1
10260,110518/1
9496,19818/1
1735,973337/01
1736,973336/01
9216,54517/1
6192,218554/10
9215,38917/1
8239,68815/1
11428,17323/1
6473,96372/11
6631,96213/11
6632,96214/11
11976,59623/1
9579,46017/1
9578,46417/1
9581,46217/1
9582,46317/1
9580,46117/1
806,208728/03
793,973492/02
5331,194489/05
10642,FE100420/1
10784,922/1
10641,FE100320/1
10783,822/1
8993,31117/1
8994,31217/1
9851,171218/1
7897,114114/1
9494,119216/1
8499,150015/1
9546,63418/1
9852,188818/1
7612,187335/13
9901,6319/1
7257,96665/12
9940,177518/1
5329,194127/05
10847,156019/1
10849,156119/1
10848,156219/1
4166,2704/94
4167,2704/94
9377,145817/1
4169,2704/94
9376,137517/1
4775,2096/94
4774,2096/94
4776,2096/94
8991,159516/1
9397,131017/1
5942,218571/10
6527,167701/10
6528,166512/11
6526,167702/10
7156,194030/05
7155,194031/05
4714,194149/05
4715,194150/05
10122,117019/1
11975,135224/1
10202,121319/1
856,27739
10039,54419/1
10074,54319/1
10018,13119/1
8766,74716/1
8764,74516/1
8765,74616/1
10539,57920/1
10538,60220/1
9810,158318/1
5827,218727/10
5826,218726/10
7689,222908/14
7508,186506/13
7507,186635/13
5134,208594/03
2124,208968/03
5264,24862/07
11735,38821/1
11736,38921/1
11737,39021/1
10878,28122/1
10877,28222/1
6786,97386/12
6787,97389/12
6891,97494/12
7618,45714/1
11034,104022/1
11721,142023/1
11722,100323/1
11723,81923/1
11724,81823/1
6784,97385/12
6785,97384/12
6892,97493/12
7617,45614/1
10075,152519/1
10928,50622/1
10929,50422/1
10930,50222/1
10931,50522/1
10932,50322/1
11720,FE9924/1
6389,24896/07
6895,97660/11
11555,23823/1
11556,23923/1
11557,24023/1
7268,166631/11
5270,222363/08
5271,222364/08
8777,121214/1
11052,155322/1
11053,155422/1
11054,155522/1
11055,155622/1
10997,117921/1
10999,118021/1
10998,118121/1
11000,118221/1
11261,177420/1
11262,177220/1
11260,177120/1
10038,76319/1
10182,156619/1
10183,156719/1
10185,156819/1
10184,156919/1
8720,76016/1
8719,76116/1
4433,194498/06
11851,64022/1
11850,63922/1
6887,166620/11
9855,164918/1
4311,236308/98
4312,195142/04
6285,218761/09
6286,218760/09
7694,25714/1
11876,6323/1
11019,51522/1
11013,166220/1
5161,24350/06
5970,219336/09
5971,219335/09
9822,91418/1
8481,157915/1
8482,158015/1
8483,158115/1
8809,110016/1
8810,110116/1
8811,110216/1
11158,123322/1
11559,139621/1
11426,41123/1
11427,41223/1
10148,86017/1
10790,3622/1
7350,221889/08
6919,221890/08
9519,38918/1
9520,39018/1
2708,195005/04
11534,55523/1
7401,187435/13
5694,219537/09
11568,105723/1
7216,96598/12
11898,21322/0
4434,195306/04
2520,208343/97
10792,186087/13
10610,84420/1
10609,84520/1
10649,48117/1
9454,162416/1
8410,186089/13
10725,12819/1
10726,12919/1
10727,13019/1
8661,17316/1
8663,17516/1
8662,17416/1
9622,28318/1
9623,28418/1
2735,A0981/92
9880,187189/13
4608,20111
2739,974492/00
11765,16722/1
9412,5218/1
11369,55422/1
11618,31523/1
7698,186510/13
8036,126914/1
9545,24218/1
11955,128224/1
10547,1921/1
10580,42221/1
11191,16221/1
9609,87318/1
9610,87418/1
10635,92520/1
10636,92620/1
5587,222385/08
5588,222386/08
5863,218882/09
3564,194013/05
3563,194014/05
6188,168223/10
8312,78814/1
8313,78914/1
7406,187304/13
6562,96205/11
7068,186472/12
6100,168117/10
6101,168118/10
2904,27841
11475,FE52623/1
1725,148237/03
3903,195336/04
8932,3417/1
11909,119422/1
8931,3217/1
11908,119522/1
8996,10117/1
11906,119722/1
8933,3317/1
11907,119922/1
9436,158717/1
9939,179318/1
4313,261479/97
4316,261475/97
4317,261476/97
4319,261477/97
9051,18817/1
9052,18917/1
11518,27423/1
8403,63115/1
10061,159316/1
5691,973982/02
1491,973313/01
4435,2864/94
4436,2865/94
10036,90419/1
10035,90519/1
803,973367/01
804,973366/01
6355,221901/08
6354,221902/08
6356,221903/08
4745,195018/04
5244,222208/07
6817,167728/10
6818,167729/10
7226,97236/12
7227,97237/12
4645,195019/04
5475,222489/08
10943,154420/1
10944,154320/1
9286,101017/1
9287,101117/1
10945,154220/1
10946,154120/1
7174,97396/12
7173,97241/12
4174,261320/97
4778,38951/96
4777,38950/96
5363,24489/06
5695,23648/06
7311,186372/13
7314,186370/13
11255,6220/1
11257,6120/1
8156,33515/1
1752,27867
1757,405445/00
1758,405446/00
1759,27866
11204,75317/1
5376,194483/05
1858,974224/01
11399,84622/1
9426,90016/1
9221,68814/1
11157,122222/1
2974,148195/03
3962,194933/05
8343,97315/1
8342,97215/1
9128,187455/13
7613,187431/13
9897,186118/1
9588,142017/1
10856,28720/1
5209,24544/07
4516,25926
7793,66814/1
10925,70822/1
6992,97367/12
6243,24951/07
6991,97368/12
10831,164420/1
6187,167601/10
11437,138722/1
8822,142616/1
11197,126721/1
11196,126821/1
11195,126921/1
3717,27873
7243,219270/09
10371,70120/1
10372,70020/1
6007,219238/09
6008,219237/09
8223,79015/1
11213,165820/1
11215,165920/1
11214,166020/1
3345,208964/03
10207,100219/1
10810,89321/1
11668,130723/1
10809,89121/1
11669,6424/1
5043,195477/04
5574,219561/09
5573,219565/09
9394,138015/1
7194,187339/13
1682,405928/00
3591,405473/00
3590,405472/00
8438,111815/1
11396,49422/1
8758,109215/1
4175,2797/94
4176,2798/94
7614,186971/14
9155,4717/1
11841,57022/1
9156,4617/1
11842,57322/1/1
9154,4517/1
10900,24122/1
4177,2745/94
4179,2745/94
9587,141917/1
4187,2779/94
4189,2779/94
4780,118/95
4781,118/95
10936,137821/1
11150,9823/1
4782,2097/94
4783,2097/94
11377,79019/1
11375,79119/1
2905,26894
9857,191218/1
6059,218330/09
6143,167460/10
10977,15522/1
9222,76615/1
9923,22619/1
7589,222903/14
4438,973304/01
9240,40816/1
11234,148821/1
11235,148721/1
10629,114620/1
10630,114420/1
10631,114520/1
8455,167616/10
1499,236433/98
6336,219279/09
5202,194125/05
5201,194126/05
6912,96709/12
11726,159223/1
11727,159323/1
4439,236679/99
4440,208366/97
7645,185838/13
8743,42215/1
8844,119016/1
4442,195467/04
9495,40516/1
11472,118321/1
8710,138715/1
8397,68715/1
4517,25925
4519,25692
6988,97453/12
6457,96224/11
6351,168247/10
11609,132320/0
9341,101217/1
9759,14619/1
9473,46618/1
9758,14419/1
9144,161716/1
7819,69614/1
7818,69714/1
10986,173320/1
10985,173220/1
9201,103017/1
9284,116517/1
9285,116417/1
8797,84516/1
8796,84616/1
8419,138614/1
8420,138514/1
6584,96240/11
11581,39623/1
9269,109116/1
9270,109216/1
5612,221995/09
7179,096729/12
7178,096728/12
11066,151121/1
6762,219256/09
4523,21359
4525,21457
9357,122917/1
9356,122817/1
11905,96524/1
10097,29319/1
10189,105419/1
10187,105319/1
6542,166843/11
6997,186261/13
7198,97227/12
11372,112620/1
7923,106514/1
7779,87414/1
8459,173715/1
2217,974004/02
11885,51323/1
6027,221948/09
9530,62417/1
6834,166621/11
9531,86516/1
5624,23631/06
3058,236818/99
3897,194121/05
3896,194120/05
9115,98117/1
11932,67524/1
9012,169016/1
11933,67324/1
9011,169116/1
11934,67424/1
4642,194482
10321,63720/1
6206,167486/10
5498,222459/08
6904,97214/12
5497,222460/08
4610,2891
2855,L0344/91
9885,47619/1
9884,47719/1
9605,90318/1
10800,87720/1
8063,140014/1
8064,140114/1
8065,140214/1
8066,140314/1
7713,48014/1
9087,63217/1
5833,194113/05
11159,16522/1
4345,208033/03
1686,
1685,24873/80
11693,39923/1
958,973386/01
4611,43
6713,167738/11
1191,MPO822/92
2661,236669
8402,138815/1
11830,20324/1
11122,74621/1
11123,74721/1
10027,87219/1
9973,40119/1
8745,130714/1
2265,974489/00
2308,974488/00
2326,974085/02
11035,84522/1
4648,28560/93
4646,26580/89
11663,3323/1
6868,166907/11
141,22411
5792,219588/09
10474,34220/1
5979,168028/10
10106,97519/1
8863,165315/1
8864,165215/1
570,973896
6850,97356/12
3909,194042/05
8529,149415/1
8589,166611/11
6712,218671/10
6915,96688/12
6914,96689/12
11404,144321/1
5163,24368/06
6402,166842/11
6096,24906/07
3733,236885
10016,54219/1
7021,97003/12
10031,112816/1
10032,112916/1
11832,12124/1
8556,142215/1
10395,12020/1
10394,12120/1
3952,194342/05
2029,27173
8088,144914/1
9370,67417/1
9371,67517/1
9710,130818/1
9713,130918/1
7644,97205/12
10164,192219/1
7706,185830/13
9007,173116/1
5056,24706/07
4321,25483
4267,25486
9656,72716/1
6374,167628/10
9462,167617/1
9463,167717/1
9464,167817/1
11229,26621/1
9797,173318/1
3055,135276
3045,27057
8761,62516/1
11687,16623/1
11688,16723/1
11686,16523/1
7771,222933/14
7772,222932/14
7770,222934/14
5916,221709/08
11665,52923/1
2280,973343/01
11153,69221/1
3969,194340/05
3970,194341/05
1689,973376/01
11798,99623/1
9875,8419/1
6293,167833/11
11858,126324/1
11859,126424/1
11857,126524/1
11854,126624/1
11855,126724/1
11856,126824/1
9645,65318/1
9646,84418/1
8412,218131/09
1855,148391/04
1854,405602/00
9367,100015/1
3881,405601/00
5044,195476/04
9829,186618/1
7267,166612/11
8744,159715/1
7868,186480/12
3632,236276
3633,38940
3634,38941
7393,187413/13
9739,154118/1
9391,9118/1
4649,27807/94
4650,27808/94
4651,27809/94
5859,218109/09
11451,30523/1
3491,208592/03
10296,143819/1
11227,132620/1
10647,108216/1
7677,186974/14
9039,108416/1
4652,194751/04
7602,187181/13
4653,194752/04
10520,100620/1
10519,100520/1
10116,189019/1
4613,22577
4612,22581
11310,105717/1
6687,218913/10
3902,194782/04
11788,130023/1
11986,130223/1
5683,18987
11675,139123/1
10518,61320/1
10226,17620/1
8281,9815/1
4326,208035/03
4324,208886/03
4325,208885/03
6400,221671/08
11032,101819/1
6441,219226/09
11594,115123/1
5047,24125/06
5811,218025/09
3074,27365
9823,158918/1
10153,70916/1
1781,974473/00
11400,62022/1
9600,103318/1
4446,194499/06
9491,118016/1
9928,67919/1
4447,973305/01
2805,208848/03
2813,208849/03
9330,123315/1
4262,974046/02
3686,236734
6338,96410/11
6339,96411/11
10973,51122/1
5717,219710/09
9919,55619/1
2289,38852
5343,222447/08
9181,103316/1
9691,102817/1
8578,13416/1
9411,151916/1
8691,171415/1
7339,96652/12
7858,186459/12
7857,186458/12
6360,218050/09
7839,80314/1
8957,151016/1
7966,4915/1
9245,78417/1
7965,4815/1
9450,69118/1
9451,69218/1
9452,69318/1
9453,69418/1
6879,167720/10
6880,167719/10
11811,55924/1
7732,48214/1
11757,79222/1
11758,79122/1
11491,154221
11492,154321
9220,94817/1
6645,221151/08
7957,186797/14
7956,186798/14
6570,218590/10
6569,218591/10
7597,186151/13
7666,186793/14
49,38699
531,973718/02
1097,973354/01
10778,85821/1
5319,221744/08
1510,973437/01
11217,97821/1
1511,973436/01
11218,97921/1
11461,61321/1
6181,221697/10
11070,61421/1
7840,222479/08
10835,149520/1
11931,110623/1
9024,174116/1
11388,65921/1
9023,174216/1
11389,66021/1
10205,172419/1
6681,167745/11
6682,167744/11
7167,96655/12
10773,6821/1
9489,22018/1
11925,127322/1
11243,43320
2688,261012
9172,64917/1
9173,64817/1
9174,64717/1
6599,166529/11
11494,54023/1
9921,51218/1
8421,92215/1
11493,160820/1
10198,5520/1
1137,208273/96
10114,99119/1
5213,24352/06
11513,73421/1
2871,148228/03
2014,208835/03
2015,208834/03
11829,20224/1
8573,63114/1
6938,96590/12
3755,405931/00
3754,405939/00
8526,119815/1
11817,20024/1
11956,20124/1
7710,186056/13
7711,186057/13
7712,186058/13
4327,25618
10221,86518/1
7455,185829/13
7980,89114/1
2016,208836/03
8085,145114/1
8111,42415/1
2010,973042/01
2036,236884/99
2038,236882/99
2017,208837/03
8087,145214/1
8113,42615/1
5539,218018/09
5540,218019/09
5541,218017/09
9817,109318/1
10337,183119/1
10336,183019/1
10435,115220/1
7521,186525/13
10645,126320/1
2731,26932
9322,171417/1
8408,126515/1
8826,93216/1
2936,208819/03
8558,9516/1
9890,41419/1
9891,41319/1
9549,35218/1
3272,405919
3273,405920
3274,405921
7318,97806/11
3279,208373/02
3280,208374/02
3281,208375/02
6539,96419/11
7193,97840/11
9988,86716/1
9987,41716/1
9455,140217/1
8225,120714/1
8525,161215/1
8524,161315/1
3594,974147/01
4450,405486/00
4451,208842/03
3382,974208/01
11436,138022/1
11519,114723/1
7680,185939/13
5548,222492/08
5549,222491/08
8830,165216/1
8831,165316/1
9541,45818/1
7363,221894/08
7362,221893/08
9638,43017/1
7594,186152/13
7595,186153/13
7664,185966/13
7665,186792/14
7125,186467/12
9515,92218/1
9516,92118/1
11246,3321/1
11247,3221/1
11248,3121/1
11249,17321/1
11250,17421/1
11516,159920/1
11517,159820/1
11515,159720/1
11514,159620/1
11390,154921/1
11391,154721/1
11394,154521/1
11393,154821/1
11392,154621/1
9796,108518/1
9795,108618/1
9794,108718/1
9677,42616/1
11657,54322/1
9407,111617/1
9408,111717/1
8507,169115/1
4452,208329/97
6025,218600/10
6026,219520/09
10147,22819/1
8858,119116/1
8671,185908/13
11109,121222/1
8425,124214/1
11328,14123/1
7012,222497/08
9342,147517/1
5468,24709/07
3560,148399/04
3561,195098/04
8840,87016/1
8841,87116/1
8839,87216/1
11307,18623/1
3851,194003/05
5185,222232/07
7032,096732/12
5891,218677/10
10583,182220/1
10827,161820
9013,8417/1
9090,18117/1
8959,45915/1
8958,46015/1
11930,18023/1
8962,103716/1
8100,185980/13
5644,218782/09
5312,221195/08
7850,186532/13
7851,186533/13
11783,77421/1
9611,102318/1
11211,59422/1
11208,59322/1
11209,24643/79
11210,61122/1
6260,167954/11
11582,59722/1
11212,59522/1
8571,31716/1
8572,31816/1
6883,97506/11
11300,130022/1
8331,120715/1
8332,120615/1
8898,140616/1
3525,195478/04
3963,194932/05
10220,110816/1
11945,120522/1
10008,65619/1
6237,167090/10
8329,166511/11
9196,45817/1
7922,186536/13
9419,142114/1
10252,76420/1
5381,24745/07
8783,107716/1
10659,103120/1
5171,23620/06
5173,23621/06
5268,24942/07
5267,24941/07
5269,24943/07
5123,24523/07
5122,24524/07
5124,24522/07
5125,24521/07
5126,194481/05
5253,23612/06
8446,144115/1
11039,37122/1
7113,97859/11
8399,186504/13
9241,100117/1
11701,40021/1
10175,75315/1
10174,75215/1
9555,145717/1
9146,161316/1
2924,974481/00
9147,161416/1
1872,261372
10866,119017/1
4453,973308/01
5791,219727/09
4658,405534/00
10541,46520/1
10540,99320/1
168,18000
6754,218697/10
7947,97001/12
11322,24523/1
11748,47124/1
11747,47224/1
10893,68121/1
10069,71919/1
10067,86919/1
10068,71819/1
10651,180520/1
10894,8122/1
10123,101119/1
10975,116021/1
1523,15315
1525,208598/03
5071,23730/06
7303,186377/13
7847,92514/1
11522,20420/1
8488,99515/1
8487,99415/1
6383,218856/09
6384,218855/09
10954,23122/1
10953,137121/1
10661,221168/08
6325,221167/08
10660,12821
1857,973893/02
10924,92820/1
10923,92720/1
11710,28924/1
7941,121614/1
7943,121414/1
7942,121514/1
8107,137914/1
2937,208285/03
8577,716/1
10041,10119/1
10042,10219/1
10043,10319/1
6993,96418/11
11439,139222/1
6583,219570/09
6652,219219/09
6650,219217/09
6651,219218/09
10960,11221/1
10959,11121/1
4614,2890
4535,26510
4536,26511
11272,117222/1
11273,117322/1
11271,117122/1
9948,49919/1
9941,49819/1
9945,49619/1
9947,49719/1
9946,50319/1
8653,27316/1
10270,168519/1
7415,186108/13
11595,130422/1
9942,50119/1
9943,50219/1
8655,13916/1
10438,50820/1
8654,13816/1
1157,405961
7552,186776/14
10657,12921/1
10656,12621
10655,12721/1
7624,187462/13
1527,236740/99
3596,973375/01
8125,8815/1
6571,168011/10
11130,116522/1
6151,219464/09
6152,219465/09
6149,219462/09
6150,219463/09
8868,96115/1
7197,96734/12
7232,185993/13
7287,187429/13
7286,187430/13
11452,27223/1
11453,27023/1
11454,27123/1
11681,55023/1
4537,77/95
4617,2723
10197,35620/1
4616,2846
8801,119416/1
8092,11715/1
