MoPHCode	RegistrationNumber
9200	30717/1
10484	145021/1
11617	38423/1
8485	186456/12
7526	186174/13
5863	218882/09
6188	168223/10
6356	221903/08
5269	24943/07
10174	75215/1
10578	9120/1
4720	194921/05
5989	218653/10
8307	76415/1
6132	221676/08
9234	79617/1
11616	38323/1
10579	9220/1
1711	195490/04
7496	186099/13
11896	21422/1
7861	186191/13
6342	168138/10
9609	87318/1
8873	186622/13
8118	36915/1
6302	167996/11
11346	FE15223/1
5484	195052/04
8462	56614/1
7769	186812/14
3990	24356/06
7038	96883/12
1712	195491/04
7497	186100/13
11897	195051/04
7862	186192/13
6343	168139/10
9610	87418/1
8874	186624/13
8119	36815/1
6303	167997/11
11347	FE15323/1
5485	195051/04
7384	167709/10
7768	186813/14
4094	24357/06
7037	96884/12
1713	195492/04
7498	186101/13
6301	167998/11
11348	FE15023/1
7767	186811/14
5565	23863/07
7724	186814/14
11345	FE15123/1
5761	218154/09
6100	168117/10
10357	81720/1
6101	168118/10
9745	147914/1
8403	63115/1
5376	194483/05
5811	218025/09
10547	1921/1
7727	186994/14
5856	218806/09
7601	222913/10
7184	186478/12
10580	42221/1
3367	974210/01
8444	106015/1
9353	111817/1
9063	163316/1
10814	62020/1
5278	222422/08
5252	24932/07
8542	174615/1
9065	163116/1
9064	163216/1
7510	186452/12
9160	30817/1
9161	30917/1
10191	16920/1
8312	78814/1
7947	97001/12
11322	24523/1
10192	16720/1
8313	78914/1
11748	47124/1
10190	16820/1
11747	47224/1
10635	92520/1
11188	182720/1
10636	92620/1
11189	182820/1
11190	182820/1
8035	186110/13
8034	186111/13
8721	167715/1
8722	167815/1
8723	167915/1
7729	78214/1
7869	108014/1
11797	99523/1
4646	26580/89
7332	97875/11
9496	19818/1
4313	261479/97
2886	405976/00
3902	194782/04
11788	130023/1
4067	194314/05
10122	117019/1
7156	194030/05
4714	194149/05
4362	208688/03
10202	121319/1
6385	168250/10
3903	195336/04
9157	59217/1
2748	26117
11088	105720/1
4423	2439/94
856	27739
5589	221407/08
8341	97115/1
7155	194031/05
4715	194150/05
4361	208687/03
4568	78/95
4641	2725
4610	2891
4621	2888
7558	187438/13
10168	98019/1
259	27703
4499	82/95
3992	25310
1499	236433/98
7220	96690/12
7543	96594/12
5211	222235/07
6220	24531/07
10120	117219/1
9045	121916/1
9907	30619/1
11502	54721/1
9843	16719/1
164	974009/02
4481	22448
4600	2889
8081	120114/1
4567	59/95
6872	97363/12
4523	21359
4634	2727
2747	
7321	166908/11
4618	2726
11478	119223/1
1089	25292
5500	218022/09
8192	46715/1
11819	78424/1
4400	208685/03
7531	97885/12
1440	973977/02
1548	195075/04
1088	25254
5499	218023/09
8191	46915/1
11180	117022/1
9445	150817/1
8807	222927/14
9179	53717/1
9180	53817/1
4397	24751
9919	55619/1
4632	2847
771	236879/00
11376	45420/1
772	236880/00
9320	187184/13
5298	24541/07
4287	236962/99
5783	218737/10
9686	172016/1
11881	57923/1
8870	52515/1
3698	135371
7560	186379/13
4431	2707/94
8932	3417/1
8931	3217/1
8933	3317/1
8996	10117/1
508	236445/98
611	27179
4684	26556/88
8560	144815/1
612	27180
4417	2375/94
3559	194793/05
6905	218696/10
10136	85419/1
6027	221948/09
7539	186286/13
10967	123518/1
9261	148817/1
7897	114114/1
9530	62417/1
10364	94920/1
10363	94820/1
8017	186126/13
8052	19515/1
9351	156517/1
10491	162220/1
6697	096203/11
4898	26693/89
9352	156617/1
10490	163020/1
6696	096202/11
4505	21365
4613	22577
1527	236740/99
7969	25014/1
1087	25834
8193	46815/1
7532	97884/12
3514	148181/03
6014	24710/07
4688	26589/89
7687	187340/13
11846	99723/1
4411	25651
8156	33515/1
5504	222378/08
8563	166615/1
3526	194792/05
5239	24303/06
10366	94620/1
759	208552/03
4903	38909/96
4904	38918/96
4559	84/95
4532	79/95
4490	2885/94
4488	2885/94
4492	2885/94
4494	2885/94
4590	31
4594	32
4591	30
4592	33
7494	97451/12
11611	165220/1
9215	38917/1
3414	27099
4368	2830/94
4367	2828/94
4369	2829/94
8652	28116/1
10938	66621/1
3415	135370
10939	66521/1
8928	92416/1
11171	134121/1
5095	974074
4467	38691/96
7661	186451/12
11726	159223/1
7660	96900/12
11727	159323/1
9061	25517/1
10671	21320/1
3695	27096
3694	27095
6336	219279/09
5235	24916/07
2767	26674
11805	130323/1
4439	236679/99
4414	2824/94
7875	31514/1
6400	221671/08
9330	123315/1
11370	80022/1
10365	94720/1
3977	195471/04
10452	68620/1
8593	1416/1
8724	74916/1
3978	195470/04
10453	68720/1
3976	195469/04
10451	1320/1
4075	23632/06
8725	75016/1
5114	24301
10454	68820/1
176	27916/94
9017	158016/1
9329	146115/1
7630	186106/13
10255	163219/1
11809	1324/1
10623	145720/1
11810	90923/1
10329	90319/1
2755	974104/01
6402	166842/11
5205	24332/06
10090	2814/1
6144	167088/10
6096	24906/07
8274	61415/1
8275	61315/1
11861	181820/1
7697	187449/13
8411	166818/11
7612	187335/13
9687	74017/1
9409	146317/1
9410	146217/1
10290	110616/1
3711	24739/79
9769	130418/1
6182	218338/09
11840	89624/1
2579	20528
7235	221853/08
8098	154814/1
10852	185518/1
11663	3323/1
1459	236236/98
1460	236235/98
11310	105717/1
11694	3223/1
10289	110716/1
7761	96417/11
3268	974211/01
4316	261475/97
4317	261476/97
4319	261477/97
11035	84522/1
5071	23730/06
6213	218596/10
6420	218595/10
6421	218594/10
9083	122316/1
11121	181020/1
5135	208862/03
7183	186288/13
10838	121520/1
2937	208285/03
8577	716/1
10839	121620/1
2936	208819/03
11832	12124/1
1301	767258/00
1302	767259/00
7826	96716/12
7827	96717/12
11155	122122/1
11156	122022/1
3411	973857/02
3412	973858/02
2905	26894
544	208805/03
6284	168014/10
141	22411
8018	69914/1
3920	195349/04
7852	81514/1
6561	96426/11
542	1990/72
8270	66415/1
8225	120714/1
9455	140217/1
2043	27888
6757	97528/11
8761	62516/1
1007	973943/02
2904	27841
8272	66515/1
117	25530
8616	96015/1
8929	130916/1
968	148389/04
5593	218138/09
6739	97029/12
8226	1515/1
969	148388/04
7319	166972/11
5332	24491/06
6767	167197/10
5986	218137/09
6738	97030/12
9118	8617/1
7069	219474/10
11539	164820/1
7253	96357/11
9299	100617/1
3172	24437/79
6664	166810/11
10026	76519/1
8269	66715/1
8048	127914/1
9269	109116/1
5612	221995/09
9357	122917/1
7179	096729/12
7178	096728/12
9270	109216/1
9356	122817/1
3905	974014/02
3904	974015/02
10086	139219/1
4025	24101/06
10087	139119/1
5334	24478/06
5595	221166/08
8909	147616/1
10508	118220/1
8908	147716/1
10507	118620/1
10975	116021/1
11022	37322/1
11021	37222/1
6470	167818/11
8292	101015/1
11225	153521/1
11316	153521/1
138	26321
4596	195091
9114	61317/1
6352	166650/11
10143	100519/1
4246	261448/97
5792	219588/09
5979	168028/10
10106	97519/1
10474	34220/1
11646	66522/1
11228	113820/1
3980	194494/05
10695	17520/1
11484	140221/1
10836	45320/1
10334	FE132420/1
9036	150416/1
3981	194493/05
10696	17420/1
11485	140121/1
10837	45320/1
10333	FE132520/1
9037	150516/1
6401	219247/09
11864	131423/1
7733	27414/1
11637	106621/1
3996	24529/07
10011	85019/1
10608	156319/1
7536	219299/09
8531	219467/09
8532	219466/09
7485	186159/13
11638	106521/1
9387	140617/1
9734	143518/1
10012	85119/1
9151	49317/1
11802	37223/1
5976	24688/07
10562	62920/1
5157	24715/07
9260	97652/11
10798	36121/1
11888	70323/1
11889	70423/1
7698	186510/13
8036	126914/1
7798	222931/14
5583	222377/08
11567	78522/1
9994	102519/1
11291	25521/1
4677	194148/05
10188	41820/1
7755	186155/13
8695	64516/1
9259	121017/1
6163	219707/09
9244	25117/1
8741	97549/11
10799	36221/1
11887	70223/1
9545	24218/1
6557	096208/11
11566	70222/1
11290	25421/1
7600	186076/13
9433	70417/1
9340	143417/1
10563	63020/1
10354	97651/2011
10600	5820/1
10335	52520/1
10429	74120/1
10845	34122/1
2708	195005/04
11559	139621/1
10607	156419/1
4608	20111
1204	
7291	186083/13
8777	121214/1
7292	186084/13
3110	405937/00
8306	185804/13
11203	103122/1
5983	218866/09
8544	38214/1
9437	26218/1
5468	24709/07
7316	187401/13
8589	166611/11
5087	24670/07
6029	222262/08
9072	66717/1
6344	166832/11
11575	100823/1
10949	10721/1
6345	166833/11
11576	100723/1
10948	10821/1
11166	177820/1
10913	173120/1
9318	108217/1
5639	218177/09
8070	93514/1
9081	175416/1
9317	116317/1
5547	222461/08
8588	2216/1
11593	126623/1
5546	222462/08
10181	168319/1
10692	13420/1
9414	146817/1
8285	110715/1
11244	59020/1
9395	154016/1
10863	29618/1
2014	208835/03
5185	222232/07
11245	59120/1
2015	208834/03
7032	096732/12
9837	164518/1
6915	96688/12
6914	96689/12
10205	172419/1
6583	219570/09
10749	98720/1
850	26820
5848	218903/10
5849	218904/10
7148	96712/12
7149	96711/12
11670	4822/1
11671	91222/1
11672	91322/1
8446	144115/1
11039	37122/1
521	405528
522	405527
11311	41122
11312	107821
8565	170415/1
4291	13929
7159	25/95
3885	MP0050/95
8279	75515/1
9694	29415/1
10206	186418/1
9289	2917/1
4292	6930
9014	18417/1
9693	29515/1
439	19019
7406	187304/13
5497	222460/08
9885	47619/1
8744	159715/1
9411	151916/1
9884	47719/1
8691	171415/1
5498	222459/08
441	25161/81
7868	186480/12
442	25162/81
6904	97214/12
416	8291
417	20285
11844	73123/1
6028	221949/09
7041	96449/11
11173	124021/1
9732	160417/1
4667	27587/94
4459	2377/94
4666	27589/94
4461	2379/94
4664	27588/94
4460	2376/94
4668	27590/94
4462	2374/94
7077	96727/12
11051	81817/1
9729	56318/1
437	17963
2645	947/72
8120	122514/1
8121	122414/1
10752	103920/1
1309	973424/01
1310	973425/01
7327	185925/13
1311	973427/01
1312	973426/01
4710	194471/05
8903	89516/1
8904	89616/1
2028	208483
10323	175119/1
5742	218334/09
10866	119017/1
10027	87219/1
9973	40119/1
11366	20322/1
11368	20522/1
11367	20422/1
2503	208487
11172	39521/1
1665	
9938	21219/1
2768	236399
4466	25653
6955	96705/12
7284	186107/13
4560	75/95
4562	75/95
7158	20565/72
11877	130218/1
11878	130318/1
11879	130118/1
11239	135621
7824	186128/13
4580	2775
4579	2770
4637	23
4575	19218
4643	24
4574	19812
4644	19215
4469	57/95
4561	57/95
4573	22322
2139	E0980/92
2140	A0341/91
899	MP1328/93
11800	69124/1
4615	148352
11182	130622/1
893	01912A
3881	405601/00
9146	161316/1
4626	974052
4604	2776
4507	973025
2924	974481/00
4518	973921
11801	69024/1
9147	161416/1
7598	186998/14
2137	E0343/91
5044	195476/04
8640	51616/1
3944	195254/04
10421	45820/1
8412	218131/09
11792	32524/1
11847	18524/1
10271	142319/1
1129	38872/96
10272	142419/1
1130	38873/96
1854	405602/00
1106	208365/02
10280	155919/1
1105	208366/02
5094	23715/06
806	208728/03
6988	97453/12
9367	100015/1
6251	166503/11
5384	221974/09
10860	28820/1
7025	96599/12
11609	132320/0
730	26737
1131	38874/96
9849	179118/1
1132	38875/96
8322	84015/1
1478	974455/00
6457	96224/11
8919	174916/1
1104	973992/02
5545	194453/05
8820	118316/1
5093	23714/06
793	973492/02
6351	168247/10
1855	148391/04
8838	54014/1
10922	87820/1
6781	97381/12
11565	158423/1
11725	FE11824/1
9982	20419/1
6138	24977/07
6475	218699/10
6288	166605/11
8706	36716/1
11796	153023/1
10422	45920/1
8609	36115/1
6782	97388/12
11564	97388/12
11579	100423/1
11793	32024/1
1671	405516/00
6602	166824/11
6603	166825/11
11843	32124/1
2263	B0341/91
3943	195255/04
6283	166816/11
1659	405927/00
1498	973324/01
8621	1316/1
8620	1216/1
1658	405929/00
1503	973325/01
11834	58823/1
11689	141123/1
9632	79316/1
1842	208669/03
2272	0236861/99
5966	168034/10
1394	208593/03
9240	40816/1
2334	974030/02
5944	218570/10
5774	221695/08
6719	222203/07
1395	973915/02
5382	24474/06
9633	79416/1
6529	166827/11
1820	135361
6605	166828/11
6604	166829/11
6530	166826/11
6422	219554/09
7242	186375/13
1660	973910/02
2266	973405/01
9132	187457/13
3354	208371/02
6505	218905/10
9129	187456/13
5717	219710/09
6786	97386/12
6787	97389/12
6891	97494/12
7618	45714/1
11034	104022/1
11721	142023/1
11722	100323/1
11723	81923/1
11724	81823/1
5202	194125/05
7819	69614/1
1618	405685/00
1570	25468
1571	25465
755	208619/03
9696	67018/1
11583	66822/1
11835	69724/1
11836	69524/1
2271	973948/02
6784	97385/12
6785	97384/12
6892	97493/12
7617	45614/1
10075	152519/1
10928	50622/1
10929	50422/1
10930	50222/1
10931	50522/1
10932	50322/1
11720	FE9924/1
5201	194126/05
6912	96709/12
9144	161716/1
7818	69714/1
7923	106514/1
7779	87414/1
9127	187458/13
3263	208382/02
1617	236978/99
5716	219715/09
2332	974033/02
9697	67118/1
8876	67616/1
1062	148400/04
8879	104516/1
5245	194491/05
753	148316/03
1682	405928/00
1124	26994
8880	104616/1
1726	208015/03
754	148317/03
6512	221349/08
3591	405473/00
10647	108216/1
6122	222400/08
1122	26992
8877	104316/1
7837	59414/1
9039	108416/1
5697	23647/06
1123	26993
8878	104416/1
1727	208034/03
11860	77122/1
6853	219210/09
5763	219494/10
3590	405472/00
7677	186974/14
5696	23646/06
2910	38929/96
2909	27254
3987	208360/02
8617	49816/1
760	208806/03
761	208807/03
11471	182317/1
3777	208361/02
3560	148399/04
3561	195098/04
8840	87016/1
8841	87116/1
11307	18623/1
7910	31414/1
8227	50715/1
8839	87216/1
3851	194003/05
11404	144321/1
8340	186808/14
9603	100918/1
5658	219729/09
11318	147422/2
8090	9415/1
5277	222419/08
5659	219730/09
9332	105517/1
10189	105419/1
8143	186824/14
6893	96606/12
10904	158619/1
10926	50722/1
11562	158223/1
10187	105319/1
8142	186823/14
6894	96607/12
10903	158519/1
10927	50822/1
11563	158323/1
10097	29319/1
6542	166843/11
6997	186261/13
7198	97227/12
11372	112620/1
7021	97003/12
6513	222474/08
8181	61115/1
10994	6522/1
11739	164423/1
11358	43622/1
5626	24330/06
9886	13319/1
6254	167824/11
6776	97203/12
7984	186789/14
10096	56319/1
10071	32619/1
8912	150716/1
4614	2890
11509	92822/1
4584	34
4585	34
1765	27771
1766	20858
4390	974245/01
7168	97242/12
1860	405950/00
9579	46017/1
6410	24657/07
1861	973920/02
5331	194489/05
1557	208328/02
9578	46417/1
9581	46217/1
5967	23707/06
9582	46317/1
6047	167087/10
9580	46117/1
1362	973745/02
5590	24744/07
1721	974064/02
5207	195123/04
7136	187476/13
6947	96721/12
5981	219288/09
7358	97545/11
9513	87518/1
1363	973735/02
1720	974059/02
1835	974043/02
7454	96390/11
5617	194496/06
4258	195056/04
808	208727/03
5206	195099/04
7359	97546/11
9514	87618/1
9593	110516/1
7436	187349/13
411	19486
412	24542/79
8379	186962/14
6404	218693/10
8751	31416/1
2941	974124/01
11614	135023/01
11613	134923/1
10853	95517/1
6180	24701/07
2739	974492/00
8745	130714/1
8399	186504/13
3594	974147/01
4450	405486/00
2295	208475
6307	24111/06
1662	78815/98
1819	261314
1840	974042/02
1139	208268/96
786	973407/01
3956	195457/04
3464	973899/02
7952	51414/1
8991	159516/1
3166	236284/98
5310	221198/08
7093	187500/13
11162	33520/1
5931	218870/09
3939	195321/04
7898	127414/1
9397	131017/1
9916	104916/1
5938	218560/10
7092	187499/13
4327	25618
10876	27622/1
7401	187435/13
5694	219537/09
11568	105723/1
7216	96598/12
9426	90016/1
9571	143816/1
10875	27522/1
10746	170220/1
10747	170320/1
8739	187348/13
7195	96695/12
5270	222363/08
11534	55523/1
4434	195306/04
2974	148195/03
6059	218330/09
7303	186377/13
7847	92514/1
7233	166783/11
9223	48217/1
10745	170120/1
7196	96694/12
5271	222364/08
6143	167460/10
11560	15519/1
2198	973411/01
2199	973412/01
6917	166518/11
9666	185935/13
9221	68814/1
11157	122222/1
11403	67218/1
5222	208571/03
9656	72716/1
6473	96372/11
11118	181520/1
11119	16321/1
8397	68715/1
4357	974246/01
8010	97999/12
7250	96860/12
1630	973939/02
6322	219596/09
5366	222450/08
6406	218750/10
7615	47914/1
8774	106816/1
11569	138923/1
9669	118318/1
10128	197719/1
5709	219249/09
7985	96698/12
3203	27881/94
7986	96699/12
9644	95718/1
9399	120217/1
9228	112217/1
10850	200119/1
11113	149420/1
5195	24110/06
11494	54023/1
7591	222914/14
5916	221709/08
11164	153421/1
6460	166945/11
11765	16722/1
11369	55422/1
11789	77822/1
6844	166944/11
9412	5218/1
11618	31523/1
9985	20319/1
5309	221197/08
9396	145317/1
9777	105116/1
4737	195342/04
4326	208035/03
3588	208301/96
4735	236407/98
10561	11521/1
5987	219509/09
4324	208886/03
7287	187429/13
9101	104116/1
7137	187454/13
8613	185815/13
5146	194475/05
10670	42020/1
4736	236406/98
7214	167091/10
6030	222478/08
5196	194490/05
1865	208343/02
4325	208885/03
5381	24745/07
7286	187430/13
9100	104016/1
10546	FE17221/1
4419	236680/99
4420	974247/01
7204	167520/10
7205	167519/10
6922	219723/09
11293	157122/1
11600	41421/1
10910	103817/1
11294	147116/1
10525	174819/1
11292	157722/1
9817	109318/1
10516	126119/1
10517	84619/1
6965	96393/11
11313	67222/1
11297	11718/1
6966	96392/11
11314	67322/1
11296	157222/1
10116	189019/1
10986	173320/1
10985	173220/1
10595	175519/1
688	25642
11752	54923/01
11204	75317/1
511	208289/03
4405	78770/98
4285	236959/99
4286	236958/99
9474	117614/1
9475	117514/1
10253	153519/1
9217	122617/1
9218	122517/1
8763	102116/1
9010	41617/1
5291	221439/08
7120	166632/11
11604	26223/1
9819	186549/13
9069	23617/1
10772	20822/1
7342	97482/12
10039	54419/1
7343	96605/12
10074	54319/1
9933	27919/1
9821	193518/1
10100	161619/1
10591	179518/1
5293	221175/08
10712	49419/1
10688	152019/1
10133	161919/1
10634	30220/1
10353	38714/1
10822	90618/1
10711	49519/1
10689	151919/1
10134	161819/1
10633	30120/1
10352	38614/1
9327	108517/1
7339	96652/12
7349	218706/10
10160	108819/1
6443	218842/09
1602	405906/00
10380	195019/1
5449	222473/08
4682	24341/06
9322	171417/1
9935	20819/1
9934	28119/1
7341	97480/12
10018	13119/1
9930	28319/1
7340	186386/13
10351	62918/1
8067	186254/13
7344	96635/12
9167	66217/1
9931	28419/1
9900	173218/1
10161	108919/1
11410	177119/1
8304	71815/1
10268	152219/1
10303	152319/1
10640	182320/1
10063	92017/1
3272	405919
9185	11317/1
6909	96585/12
7075	96407/11
6299	96355/11
10064	92117/1
6631	96213/11
3273	405920
7318	97806/11
9184	11417/1
7074	96408/11
10062	92217/1
6632	96214/11
3274	405921
9186	11517/1
9716	172518/1
9717	172618/1
10478	63320/1
10479	63420/1
9718	172818/1
10065	91917/1
6723	166602/11
4029	23859/07
6865	166965/11
8982	15117/1
7283	185940/13
9031	90316/1
9032	90416/1
11059	58920/1
11750	104021/1
11749	104121/1
11581	39623/1
6584	96240/11
11243	43320
11066	151121/1
6451	218895/09
8848	103916/1
10310	143019/1
6002	218767/09
10886	152220/1
11308	128722/1
11304	72122/1
10497	12320/1
10950	53622/1
1271	405669/00
6466	96222/11
6467	96221/11
10277	121320/1
9809	21919/1
3188	405530/00
32	26275
10584	118820/1
8453	167618/10
28	135293
33	973725/02
5673	218859/09
9073	166316/1
11056	61722/1
11167	61622/1
3951	973739/02
10164	192219/1
8455	167616/10
9004	20317/1
11058	30320/1
5950	24974/07
6634	97957/12
10899	104220/1
11057	111722/1
31	261329/97
8947	179716/1
11168	104122/1
8737	65816/1
5134	208594/03
5733	219564/09
34	973379/01
10498	12420/1
5394	23864/07
8675	59416/1
8454	167972/11
513	27258
516	27263
8942	151616/1
9104	23017/1
7587	186958/14
11804	131123/1
8943	151516/1
11631	113622/1
9103	22917/1
9333	100717/1
10785	94421/1
8715	124916/1
9583	40616/1
9056	168816/1
11608	114122/1
8714	124816/1
10262	22419/1
9055	168716/1
11605	114222/1
8713	124716/1
9054	168616/1
11607	114322/1
10263	22319/1
9053	168516/1
11606	114422/1
7865	86814/1
7867	86614/1
6206	167486/10
9765	147618/1
10494	189919/1
9444	130717/1
10989	222/1
11570	116822/1
10995	34420/1
11263	6321/1
11223	109220/1
11224	109320/1
11007	164220/1
10495	190019/1
10990	122/1
11009	34320/1
11222	109120/1
6962	96700/12
6562	96205/11
7068	186472/12
10977	15522/1
5679	218031/09
11012	55021/1
7266	97675/11
3358	195035/04
5327	221412/08
8733	66316/1
8814	111716/1
11524	20220/1
11010	142120/1
5798	218888/09
7050	166919/11
5091	24969/07
10974	23022/1
7444	185971/13
11523	20320/1
11011	142020/1
5779	218889/09
7051	166920/11
5092	24968/07
10955	137021/1
11510	18923/1
8479	133715/1
9326	112917/1
11620	112722/1
11152	124521/1
11266	8121/1
5766	218753/09
8016	67914/1
11267	6321/1
11477	1122/1
11875	55424/1
11177	151322/1
10154	99219/1
11270	177720/1
10683	3919/1
10920	129920/1
6497	167159/10
11542	33923/1
9051	18817/1
9052	18917/1
7452	186077/13
5153	222222/07
2805	208848/03
2813	208849/03
2511	135396
6779	97378/12
6652	219219/09
7369	166953/11
11521	20010/1
6650	219217/09
10960	11221/1
10657	12921/1
7367	166951/11
6651	219218/09
10656	12621
7368	166952/11
3577	195294/04
10959	11121/1
10655	12721/1
11001	93321/1
1779	208379/97
11069	81922/1
8735	56916/1
5866	218935/10
1731	148395/04
11268	7821/1
1780	208396/97
11068	81822/1
8734	56816/1
5867	218936/10
3576	194595/04
11865	14724/1
8701	66016/1
10672	60621/1
8862	129916/1
11520	4923/1
5193	24323/06
10654	13121/1
1732	148394/04
6906	97467/12
6464	218947/10
10216	56317/1
6463	218948/10
10217	56217/1
10715	29621/1
2480	135398
7726	187091/13
10684	164119/1
2479	135397
11020	40122/1
10996	26721/1
6653	218857/09
6654	218858/09
11601	22522/1
3952	194342/05
7551	186649/13
7397	166541/11
8210	185820/13
10952	136921/1
10956	90922/1
11264	6521/1
7294	187474/13
4041	24542/07
7884	149914/1
7396	166542/11
7491	185822/13
7308	185821/13
10951	23222/1
10957	90722/1
10958	90822/1
11265	6621/1
7296	187475/13
4017	24536/07
11103	21521/1
11133	147722/1
10963	622/1
11006	319/1
4018	24535/07
11104	21421/1
11132	114120/1
10965	722/1
11005	219/1
11105	21321/1
11131	147255/1
10964	422/1
11004	119/1
10961	522/1
10962	322/1
5120	24992/07
6207	167811/11
9910	60519/1
9911	60619/1
9912	60719/1
11586	8422/1
11587	8322/1
6238	218930/10
10823	95720/1
10728	152119/1
10135	161719/1
10821	145220/1
10031	112816/1
10564	23018/1
10820	145320/1
10032	112916/1
10565	23118/1
8836	117816/1
6951	096691/12
9727	169618/1
9728	169718/1
9459	178617/1
10442	79720/1
10443	79820/1
10444	79920/1
10036	90419/1
10035	90519/1
8520	1716/1
10663	98721/1/1
11271	117122/1
11452	27223/1
8521	1816/1
10664	108521/1
11272	117222/1
11453	27023/1
11454	27123/1
8522	1916/1
10665	108421/1
11273	117322/1
9993	20719/1
9674	100418/1
9675	100218/1
9676	100318/1
5897	218674/10
10482	2320/1
11381	113121/1
6930	96704/12
10483	2420/1
11382	113221/1
10481	2220/1
11380	113021/1
10824	130016/1
11837	34623/1
11479	152320/1
11838	34423/1
11480	152420/1
11839	34523/1
11481	152520/1
10317	149519/1
10318	1494/19
10596	180920/1
11623	41523/1
10597	180820/1
11002	32821/1
11003	32721/1
11014	32921/1
10486	137319/1
11769	152418/1
10708	62120/1
10487	137519/1
11770	152518/1
10488	137419/1
11771	152618/1
10709	62220/1
5319	221744/08
8792	120716/1
8791	120616/1
10007	13819/1
9629	70718/1
9630	70818/1
9631	70918/1
8720	76016/1
8719	76116/1
8525	161215/1
8524	161315/1
9659	183417/1
10293	128719/1
10810	89321/1
11668	130723/1
5574	219561/09
11602	107223/1
9384	42018/1
11622	14023/1
10673	195819/1
10029	125619/1
10809	89121/1
11669	6424/1
5573	219565/09
11603	107123/1
9383	41818/1
9385	41918/1
11621	13923/1
10674	195919/1
10030	125719/1
8201	55715/1
9688	147918/1
8899	167016/1
10905	113921/1
10326	200319/1
8053	11015/1
9458	53618/1
10653	177019/1
9394	138015/1
11519	114723/1
11584	106823/1
10212	38220/1
10327	200219/1
10652	176919/1
10211	38120/1
10044	140319/1
7629	187053/13
7753	62914/1
7754	63014/1
5502	221699/08
7237	187460/13
7238	187459/13
8331	120715/1
8332	120615/1
8239	68815/1
10033	74419/1
11729	74419/1
10034	74319/1
11728	124/1
10358	179019/1
8901	182416/1
10381	181919/1
5555	221326/08
6110	167517/10
11596	106923/1
10794	96821/1
11667	6524/1
10520	100620/1
10325	175319/1
10249	100220/1
5554	221325/08
6109	167512/10
11597	107023/1
11666	130823/1
10795	96721/1
10519	100520/1
10324	175219/1
10287	100120/1
8492	131415/1
8493	131515/1
10226	17620/1
7938	80114/1
7970	119414/1
8498	161415/1
6655	219213/09
6656	219214/09
6405	218692/10
2250	78977
6469	219212/09
7670	187070/13
6903	97958/12
8488	99515/1
6383	218856/09
10954	23122/1
10661	221168/08
5150	23718/06
11522	20420/1
8487	99415/1
6384	218855/09
10953	137121/1
6325	221167/08
10660	12821
9498	76118/1
10328	138619/1
9386	186162/13
10687	189319/1
9477	146117/1
11619	110122/1
10598	87420/1
11269	177320/1
10819	96420/1
8499	150015/1
9172	64917/1
9173	64817/1
9174	64717/1
8338	222942/14
10371	70120/1
10372	70020/1
9831	80619/1
9832	80519/1
11317	53223/1
9300	60417/1
7495	96715/12
2465	208973/03
11129	61522/1
10583	182220/1
10545	30020/1
9331	109717/1
7586	186625/13
11806	109123/1
7638	186626/13
11807	109223/1
9153	54917/1
9152	55017/1
9175	55117/1
9176	54817/1
11169	118621/1
11170	118721/1
1646	27242
5613	218788/09
2806	27530
2810	78978/98
2811	236418/98
5610	221996/09
5611	221997/09
11242	2723/1
10450	145120/1
11207	2823/1
6863	97210/12
10988	79521/1
10449	56020/1
11511	92121/1
8881	103816/1
11016	51722/1
11630	111122/1
5889	222451/08
5158	24717/07
11512	92321/1
7960	92314/1
11558	19123/1
9626	104818/1
11677	126623/1
10645	126320/1
10916	43821/1
11165	21122/1
11017	51322/1
7650	29014/1
8530	145315/1
5614	222472/08
890	236201/98
7317	185831/13
6236	167184/10
7306	218694/10
7268	166631/11
7694	25714/1
11876	6323/1
11019	51522/1
11013	166220/1
8979	132816/1
7440	186512/13
10599	19020/1
7688	187093/13
11629	110222/1
6231	219265/09
6232	219266/09
10966	91022/1
10993	6421/1
11432	113920/1
10796	52919/1
9365	171217/1
11691	152623/1
11552	120421/1
5343	222447/08
1097	973354/01
7965	4815/1
11493	160820/1
6305	166848/11
10777	102719/1
7966	4915/1
10448	60120/1
3348	195076/04
10867	57317/1
3426	973729/02
10088	139419/1
10868	57217/1
11543	81221/1
10084	139319/1
10723	84120/1
10724	84220/1
11463	42523/1
11462	42423/1
7276	185844/13
9046	32217/1
9272	8315/1
7267	166612/11
11200	179217/1
9917	34619/1
10518	61320/1
3906	194122/05
3907	194123/05
5090	24729/07
7644	97205/12
11707	30724/1
7348	167540/10
2156	405421/00
10499	165919/1
2157	405419/00
10500	166019/1
5116	23727/06
5117	23728/06
10731	98820/1
6306	166601/11
11319	53723/1
10373	25020/1
9783	113716/1
11532	119623/1
11893	51123/1
11482	154021/1
8892	178716/1
11483	154121/1
7849	186999/14
11044	167018/1
11431	53123/1
10541	46520/1
11378	153821/1
10540	99320/1
11379	153921/1
8398	122615/1
10627	56321/1
10628	56221/1
9549	35218/1
9407	111617/1
9408	111717/1
10629	114620/1
10630	114420/1
10631	114520/1
10374	45520/1
10677	153320/1
10377	138419/1
10398	165119/1
10399	117119/1
9755	53119/1
9756	53019/1
10410	138519/1
10397	165319/1
9757	53219/1
11598	106723/1
11599	106623/1
10266	48720/1
