MoPHCode	RegistrationNumber
4730	148222/03
6839	168003/10
11449	35323/1
6704	219307/09
5929	221855/08
5124	24522/07
10882	27722/1
6709	219298/09
4731	148223/03
6840	168004/10
11042	167726/2010
6702	219308/09
5930	221854/08
5125	24521/07
6437	167498/10
4701	148171/03
4302	195144/04
4702	148172/03
4303	195143/04
5086	24517/07
5847	218874/09
7290	185907/13
5126	194481/05
9705	179817/1
9706	24418/1
9707	24318/1
5770	219590/09
11237	54522/1
10314	115619/1
10502	114920/1
5771	219591/09
11236	54622/1
10315	115419/1
7991	126314/1
7992	126414/1
7993	126514/1
10316	115519/1
10501	114820/1
10740	61620/1
11682	90919/1
11430	124321/1
11175	114321/1
10741	133220/1
11683	90819/1
11429	124221/1
11174	114421/1
11526	16922/1
10758	9720/1
8993	31117/1
8994	31217/1
11048	136121/1
10767	58020/1
11047	136021/1
10766	58120/1
11525	126121/1
11161	127420/1
9337	115317/1
11360	149721/1
11612	144920/1
11447	43522/1
9339	115417/1
11361	149921/1
11448	43722/1
9826	178718/1
11433	139722/1
11812	37624/1
9827	178818/1
11434	142722/1
11813	37524/1
8680	61116/1
10469	185919/1
10991	20922/1
10463	186019/1
10464	185819/1
10462	185719/1
10992	21022/1
11711	53422/1
1340	973726/02
5345	222423/08
5959	23608/06
5302	222424/08
8333	122814/1
7871	44014/1
10194	115319/1
11632	62023/1
11633	61923/1
11327	144721/1
11684	84920/1
11848	6523/1
11043	124421/1
11176	114121/1
11759	40423/1
8571	31716/1
8572	31816/1
10757	9620/1
6755	97853/11
10585	30420/1
8854	93816/1
8083	9115/1
8084	9215/1
10918	120521/1
10987	121021/1
10041	10119/1
10042	10219/1
10043	10319/1
11529	9920/1
8253	78315/1
11321	150021/1
11530	10020/1
11446	43822/1
8203	55515/1
10782	145520/1
8204	55415/1
10781	145420/1
2010	973042/01
9237	80117/1
2036	236884/99
9235	79917/1
2038	236882/99
9236	80017/1
11858	126324/1
11859	126424/1
11857	126524/1
11854	126624/1
11855	126724/1
11856	126824/1
6869	219471/09
11233	5022/1
11130	116522/1
4576	19273
4588	22573
4289	19330
6832	167747/11
11211	59422/1
11208	59322/1
11209	24643/79
11210	61122/1
6260	167954/11
11582	59722/1
11212	59522/1
10146	22720/1
10251	81320/1
7309	96730/12
9573	19018/1
6881	97235/12
5764	219286/09
7589	222903/14
9611	102318/1
10530	171620/1
7385	186520/13
10218	93120/1
10697	73321/1
8712	59216/1
9572	19018/1
9125	28017/1
7492	186791/14
9802	125616/1
9473	46618/1
9758	14419/1
5666	221863/08
9141	31717/1
10659	103120/1
7422	187151/13
7320	96864/12
7511	186529/13
9800	133416/1
9278	74217/1
9522	79318/1
9760	14519/1
9341	101217/1
9759	14619/1
9207	72517/1
9382	126117/1
9276	69217/1
11757	79222/1
11758	79122/1
7597	186151/13
11491	154221
11492	154321
1337	974078/02
8710	138715/1
9220	94817/1
7666	186793/14
5712	218827/09
1338	974079/02
10829	122620/1
11818	27224/1
8099	154714/1
4577	19264
11329	130922/1
9599	33918/1
1369	3561
1551	20539
9606	42218/1
1385	14247
6193	167632/10
9526	31316/1
4104	2836/94
7735	45814/1
10895	65421/1
2248	78728/97
7493	187200/14
1800	3443/72
8422	136315/1
4658	405534/00
1801	3398/72
2249	78727/97
5667	221862/08
7421	187099/13
7423	187100/13
9262	69116/1
3495	
6269	167506/10
8438	111815/1
11396	49422/1
9222	76615/1
5049	194346/05
8546	171515/1
7315	218188/09
9730	47219/1
